date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:48:41	34291/34291	---MCZ	200	added ('OK')	text/html	etag:W/%225d03f6c7-85f3%22	https://exez.in/gameboy-dma	/home/macrossneurology/Documents/coding/GB/documents/DMA%20Transfers%20/exez.in/gameboy-dma.html	(from )
01:48:42	141/141	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Aug%202019%2005:48:41%20GMT	https://exez.in/robots.txt		(from )
01:48:42	14406/14406	---M--	200	added ('OK')	image/png	etag:%22593eefd7-3846%22	https://exez.in/favicon.png	/home/macrossneurology/Documents/coding/GB/documents/DMA%20Transfers%20/exez.in/favicon.png	(from https://exez.in/gameboy-dma)
01:48:43	11416/11416	---M--	200	added ('OK')	text/css	etag:%225c9515c2-2c98%22	https://exez.in/css/hack.css	/home/macrossneurology/Documents/coding/GB/documents/DMA%20Transfers%20/exez.in/css/hack.css	(from https://exez.in/gameboy-dma)
01:48:44	2215/2215	---M--	200	added ('OK')	text/css	etag:%225c951205-8a7%22	https://exez.in/css/prism.css	/home/macrossneurology/Documents/coding/GB/documents/DMA%20Transfers%20/exez.in/css/prism.css	(from https://exez.in/gameboy-dma)
01:48:45	4146/4146	---M--	200	added ('OK')	text/css	etag:%225d03f6c7-1032%22	https://exez.in/css/main.css	/home/macrossneurology/Documents/coding/GB/documents/DMA%20Transfers%20/exez.in/css/main.css	(from https://exez.in/gameboy-dma)
01:48:46	76060/76060	---M--	200	added ('OK')	text/xml	etag:%225d03f6c7-1291c%22	https://exez.in/feed.xml	/home/macrossneurology/Documents/coding/GB/documents/DMA%20Transfers%20/exez.in/feed.xml	(from https://exez.in/gameboy-dma)
01:48:48	261/261	---MCZ	200	added ('OK')	text/css	date:Thu,%2008%20Aug%202019%2005:48:47%20GMT	https://fonts.googleapis.com/css?family=Anonymous+Pro	/home/macrossneurology/Documents/coding/GB/documents/DMA%20Transfers%20/fonts.googleapis.com/cssd43b.css	(from https://exez.in/gameboy-dma)
01:48:52	7204/7204	---M--	200	added ('OK')	image/png	etag:%22ac75e9254093590e6c1a4a65aa7160ed%22	http://i.imgur.com/Z99zL9R.png	/home/macrossneurology/Documents/coding/GB/documents/DMA%20Transfers%20/i.imgur.com/Z99zL9R.png	(from https://exez.in/gameboy-dma)
01:48:52	252903/252903	---M--	200	added ('OK')	image/gif	etag:%225c951040-3dbe7%22	https://exez.in/media/dark2.gif	/home/macrossneurology/Documents/coding/GB/documents/DMA%20Transfers%20/exez.in/media/dark2.gif	(from https://exez.in/gameboy-dma)
01:48:52	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2008%20Aug%202019%2005:48:51%20GMT	https://fonts.googleapis.com/robots.txt		(from https://exez.in/gameboy-dma)
