date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:22	1013/1013	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Dec%202019%2017:31:21%20GMT	https://fms.komkon.org/robots.txt		(from )
12:31:23	1726/1726	U-----	200	untouched ('OK')	text/html	etag:%226be-581bc01c1358c%22	https://fms.komkon.org/GameBoy/	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/index.html	(from )
12:31:23	12229/12229	---M--	200	added ('OK')	image/gif	etag:%222fc5-2e7b68a03f2c0%22	https://fms.komkon.org/GameBoy/background.gif	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/background.gif	(from https://fms.komkon.org/GameBoy/)
12:31:24	7785/7785	---M--	200	added ('OK')	text/html	etag:%221e69-51105701cd640%22	https://fms.komkon.org/GameBoy/General.html	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/General.html	(from https://fms.komkon.org/GameBoy/)
12:31:25	4261/4261	---M--	200	added ('OK')	text/html	etag:%2210a5-5110566fe3e00%22	https://fms.komkon.org/GameBoy/Games/Genie.html	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/Games/Genie.html	(from https://fms.komkon.org/GameBoy/)
12:31:26	6287/6287	---M--	200	added ('OK')	text/html	etag:%22188f-511055d0a0640%22	https://fms.komkon.org/GameBoy/Tech/	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/Tech/index.html	(from https://fms.komkon.org/GameBoy/)
12:31:26	17337/17337	---M--	200	added ('OK')	text/html	etag:%2243b9-511055b127c00%22	https://fms.komkon.org/GameBoy/Games/	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/Games/index.html	(from https://fms.komkon.org/GameBoy/)
12:31:26	20052/20052	---M--	200	added ('OK')	text/plain	etag:%224e54-2c32fb8b266c0%22	https://fms.komkon.org/GameBoy/GreenScreen11.txt	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/GreenScreen11.txt	(from https://fms.komkon.org/GameBoy/)
12:31:27	11558/11558	---M--	200	added ('OK')	text/plain	etag:%222d26-2c82e71664580%22	https://fms.komkon.org/GameBoy/GreenScreen12.1.txt	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/GreenScreen12.1.txt	(from https://fms.komkon.org/GameBoy/)
12:31:28	79953/79953	---M--	200	added ('OK')	text/plain	etag:%2213851-2c82e72d47b80%22	https://fms.komkon.org/GameBoy/GreenScreen12.2.txt	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/GreenScreen12.2.txt	(from https://fms.komkon.org/GameBoy/)
12:31:29	20930/20930	---M--	200	added ('OK')	text/plain	etag:%2251c2-2c82e7414eac0%22	https://fms.komkon.org/GameBoy/GreenScreen12.3.txt	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/GreenScreen12.3.txt	(from https://fms.komkon.org/GameBoy/)
12:31:30	1182/1182	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Dec%202019%2017:31:30%20GMT	https://fms.komkon.org/icons/text.xbm	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/icons/text.xbm	(from https://fms.komkon.org/GameBoy/General.html)
12:31:31	1182/1182	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Dec%202019%2017:31:31%20GMT	https://fms.komkon.org/icons/binary.xbm	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/icons/binary.xbm	(from https://fms.komkon.org/GameBoy/General.html)
12:31:32	1994/1994	---M--	200	added ('OK')	image/gif	etag:%227ca-2c22b73c390c0%22	https://fms.komkon.org/GameBoy/Tech/title.gif	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/Tech/title.gif	(from https://fms.komkon.org/GameBoy/Tech/)
12:31:33	1168/1168	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Dec%202019%2017:31:33%20GMT	https://fms.komkon.org/icons/folder.xbm	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/icons/folder.xbm	(from https://fms.komkon.org/GameBoy/Tech/)
12:31:34	1994/1994	---M--	200	added ('OK')	image/gif	etag:%227ca-2c22b73c390c0%22	https://fms.komkon.org/GameBoy/Games/title.gif	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/Games/title.gif	(from https://fms.komkon.org/GameBoy/Games/)
12:31:35	230/230	---M--	200	added ('OK')	image/gif	etag:%22e6-2bfe4e3940a40%22	https://fms.komkon.org/GameBoy/Games/GBB.gif	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/Games/GBB.gif	(from https://fms.komkon.org/GameBoy/Games/)
12:31:36	230/230	---M--	200	added ('OK')	image/gif	etag:%22e6-2bfe4dfc37a40%22	https://fms.komkon.org/GameBoy/Games/GBA.gif	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/Games/GBA.gif	(from https://fms.komkon.org/GameBoy/Games/)
12:31:37	237/237	---M--	200	added ('OK')	image/gif	etag:%22ed-2c06fae624540%22	https://fms.komkon.org/GameBoy/Games/GBU.gif	/home/macrossneurology/Documents/coding/GB/documents/Fayzullin%20GameBoy%20Homepage/fms.komkon.org/GameBoy/Games/GBU.gif	(from https://fms.komkon.org/GameBoy/Games/)
