date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:50	2792/2792	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225cae6c0f-1d41%22	https://eldred.fr/robots.txt		(from )
22:19:51	11003/11003	---M-Z	200	added ('OK')	text/html	etag:W/%225c740b3b-2afb%22	https://eldred.fr/gb-asm-tutorial/	/home/macrossneurology/Documents/coding/GB/tutorials/ISSOtm's%20-%20GB%20programming/ISSOtm's%20-%20GB%20ASM/eldred.fr/gb-asm-tutorial/index.html	(from )
22:19:51	766/766	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225c740b3b-2fe%22	https://eldred.fr/gb-asm-tutorial/img/favicon.ico	/home/macrossneurology/Documents/coding/GB/tutorials/ISSOtm's%20-%20GB%20programming/ISSOtm's%20-%20GB%20ASM/eldred.fr/gb-asm-tutorial/img/favicon.ico	(from https://eldred.fr/gb-asm-tutorial/)
22:19:52	13946/13946	---M--	200	added ('OK')	image/png	etag:%225c740b3b-367a%22	https://eldred.fr/gb-asm-tutorial/img/favicon.png	/home/macrossneurology/Documents/coding/GB/tutorials/ISSOtm's%20-%20GB%20programming/ISSOtm's%20-%20GB%20ASM/eldred.fr/gb-asm-tutorial/img/favicon.png	(from https://eldred.fr/gb-asm-tutorial/)
22:19:53	9032/9032	---M-Z	200	added ('OK')	text/html	etag:W/%225c740b3b-2348%22	https://eldred.fr/gb-asm-tutorial/introduction.html	/home/macrossneurology/Documents/coding/GB/tutorials/ISSOtm's%20-%20GB%20programming/ISSOtm's%20-%20GB%20ASM/eldred.fr/gb-asm-tutorial/introduction.html	(from https://eldred.fr/gb-asm-tutorial/)
22:19:54	6052/6052	---M-Z	200	added ('OK')	text/css	etag:W/%225c740b3b-17a4%22	https://eldred.fr/gb-asm-tutorial/css/normalize.css	/home/macrossneurology/Documents/coding/GB/tutorials/ISSOtm's%20-%20GB%20programming/ISSOtm's%20-%20GB%20ASM/eldred.fr/gb-asm-tutorial/css/normalize.css	(from https://eldred.fr/gb-asm-tutorial/)
22:19:55	3758/3758	---M-Z	200	added ('OK')	text/css	etag:W/%225c740b3b-eae%22	https://eldred.fr/gb-asm-tutorial/css/common.css	/home/macrossneurology/Documents/coding/GB/tutorials/ISSOtm's%20-%20GB%20programming/ISSOtm's%20-%20GB%20ASM/eldred.fr/gb-asm-tutorial/css/common.css	(from https://eldred.fr/gb-asm-tutorial/)
22:19:57	11003/11003	---M-Z	200	added ('OK')	text/html	etag:W/%225c740b3b-2afb%22	https://eldred.fr/gb-asm-tutorial/index.html	/home/macrossneurology/Documents/coding/GB/tutorials/ISSOtm's%20-%20GB%20programming/ISSOtm's%20-%20GB%20ASM/eldred.fr/gb-asm-tutorial/index-2.html	(from https://eldred.fr/gb-asm-tutorial/)
22:19:57	146361/146361	---M--	200	added ('OK')	image/png	etag:%225c740b3b-23bb9%22	https://eldred.fr/gb-asm-tutorial/img/robbi_discord_screenshot.png	/home/macrossneurology/Documents/coding/GB/tutorials/ISSOtm's%20-%20GB%20programming/ISSOtm's%20-%20GB%20ASM/eldred.fr/gb-asm-tutorial/img/robbi_discord_screenshot.png	(from https://eldred.fr/gb-asm-tutorial/)
22:19:58	13825/13825	---M-Z	200	added ('OK')	text/html	etag:W/%225c740b3b-3601%22	https://eldred.fr/gb-asm-tutorial/what_is_gb.html	/home/macrossneurology/Documents/coding/GB/tutorials/ISSOtm's%20-%20GB%20programming/ISSOtm's%20-%20GB%20ASM/eldred.fr/gb-asm-tutorial/what_is_gb.html	(from https://eldred.fr/gb-asm-tutorial/)
