date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:47	193/193	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2014%20Apr%202019%2002:48:47%20GMT	https://book.famicom.party/robots.txt		(from )
22:48:48	3178/3178	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202019%2016:42:14%20GMT	https://book.famicom.party/	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/index.html	(from )
22:48:48	9375/9375	---MCZ	200	added ('OK')	text/css	etag:W/%225c5e0655-249f%22	https://book.famicom.party/css/style.css	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/css/style.css	(from https://book.famicom.party/)
22:48:49	5884/5884	---MCZ	200	added ('OK')	text/css	etag:W/%225bab8feb-16fc%22	https://book.famicom.party/css/prism.css	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/css/prism.css	(from https://book.famicom.party/)
22:48:50	3127/3127	---M--	200	added ('OK')	image/png	etag:%225b719311-c37%22	https://book.famicom.party/img/famicomparty.png	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/img/famicomparty.png	(from https://book.famicom.party/)
22:48:52	7184/7184	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Sep%202018%2015:38:37%20GMT	https://book.famicom.party/chapters/00-introduction.html	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/chapters/00-introduction.html	(from https://book.famicom.party/)
22:48:53	26203/26203	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Sep%202018%2015:38:42%20GMT	https://book.famicom.party/chapters/01-briefhistory.html	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/chapters/01-briefhistory.html	(from https://book.famicom.party/)
22:48:54	21102/21102	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Sep%202018%2018:06:28%20GMT	https://book.famicom.party/chapters/02-fundamentalconcepts.html	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/chapters/02-fundamentalconcepts.html	(from https://book.famicom.party/)
22:48:55	16040/16040	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Oct%202018%2016:05:44%20GMT	https://book.famicom.party/chapters/03-gettingstarted.html	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/chapters/03-gettingstarted.html	(from https://book.famicom.party/)
22:48:56	15651/15651	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2017:49:46%20GMT	https://book.famicom.party/chapters/04-hardwareoverview.html	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/chapters/04-hardwareoverview.html	(from https://book.famicom.party/)
22:48:57	28019/28019	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202018%2017:48:53%20GMT	https://book.famicom.party/chapters/05-6502assembly.html	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/chapters/05-6502assembly.html	(from https://book.famicom.party/)
22:48:58	20431/20431	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Dec%202018%2020:23:43%20GMT	https://book.famicom.party/chapters/06-headersinterruptvectors.html	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/chapters/06-headersinterruptvectors.html	(from https://book.famicom.party/)
22:48:59	19799/19799	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2019:17:38%20GMT	https://book.famicom.party/chapters/07-whydothis.html	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/chapters/07-whydothis.html	(from https://book.famicom.party/)
22:49:00	15683/15683	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Feb%202019%2001:43:13%20GMT	https://book.famicom.party/chapters/08-refactoring.html	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/chapters/08-refactoring.html	(from https://book.famicom.party/)
22:49:01	18532/18532	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Feb%202019%2001:24:17%20GMT	https://book.famicom.party/chapters/09-theppu.html	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/chapters/09-theppu.html	(from https://book.famicom.party/)
22:49:02	30389/30389	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b6c9ecc-76b5%22	https://book.famicom.party/js/prism.js	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/js/prism.js	(from https://book.famicom.party/)
22:49:03	48328/48328	---M--	200	added ('OK')	image/jpeg	etag:%225b6de59a-bcc8%22	https://book.famicom.party/img/NES-Console-Set.jpg	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/img/NES-Console-Set.jpg	(from https://book.famicom.party/chapters/00-introduction.html)
22:49:04	126635/126635	---M--	200	added ('OK')	image/jpeg	etag:%225b6de0c3-1eeab%22	https://book.famicom.party/img/Dragon_Warrior-box.jpg	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/img/Dragon_Warrior-box.jpg	(from https://book.famicom.party/chapters/00-introduction.html)
22:49:05	30101/30101	---M--	200	added ('OK')	image/jpeg	etag:%225b6de99d-7595%22	https://book.famicom.party/img/i-am-error.jpg	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/img/i-am-error.jpg	(from https://book.famicom.party/chapters/00-introduction.html)
22:49:06	32394/32394	---M--	200	added ('OK')	image/png	etag:%225b6de0c3-7e8a%22	https://book.famicom.party/img/Radar_scope_arcadeflyer.png	/home/macrossneurology/Documents/coding/NES/documents/Famicom%20Party/book.famicom.party/img/Radar_scope_arcadeflyer.png	(from https://book.famicom.party/chapters/01-briefhistory.html)
