date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:30:48	241/241	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Aug%202019%2005:30:48%20GMT	https://www.chibiakumas.com/6502	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502.0.delayed	(from )
01:30:49	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Aug%202019%2005:30:49%20GMT	https://www.chibiakumas.com/robots.txt		(from )
01:30:50	200230/200230	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2005:30:49%20GMT	https://www.chibiakumas.com/6502/	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/index.html	(from )
01:30:50	1760/1760	---MCZ	200	added ('OK')	text/css	date:Sat,%2003%20Nov%202018%2011:53:13%20GMT	https://www.chibiakumas.com/6502/darkmode.css	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/darkmode.css	(from https://www.chibiakumas.com/6502/)
01:30:51	1550/1550	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Nov%202018%2011:53:25%20GMT	https://www.chibiakumas.com/6502/theme/Sakuyax.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/theme/Sakuyax.png	(from https://www.chibiakumas.com/6502/)
01:30:52	2494/2494	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Nov%202018%2011:53:34%20GMT	https://www.chibiakumas.com/6502/theme/Videox.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/theme/Videox.png	(from https://www.chibiakumas.com/6502/)
01:30:53	1809/1809	---M--	200	added ('OK')	image/jpeg	date:Sun,%2030%20Dec%202018%2013:46:39%20GMT	https://www.chibiakumas.com/6502/res/6502.jpg	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/res/6502.jpg	(from https://www.chibiakumas.com/6502/)
01:30:54	6721/6721	---M--	200	added ('OK')	image/jpeg	date:Sun,%2030%20Dec%202018%2013:46:54%20GMT	https://www.chibiakumas.com/6502/res/695px-Sitronix_ST2064B_silicon_die.jpg	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/res/695px-Sitronix_ST2064B_silicon_die.jpg	(from https://www.chibiakumas.com/6502/)
01:30:55	1569/1569	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Nov%202018%2011:53:25%20GMT	https://www.chibiakumas.com/6502/theme/Cheatsheet.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/theme/Cheatsheet.png	(from https://www.chibiakumas.com/6502/)
01:30:56	1962/1962	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Nov%202018%2011:53:35%20GMT	https://www.chibiakumas.com/6502/theme/Yume128.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/theme/Yume128.png	(from https://www.chibiakumas.com/6502/)
01:30:57	1762/1762	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Nov%202018%2008:22:57%20GMT	https://www.chibiakumas.com/68000/theme/bochanL.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/68000/theme/bochanL.png	(from https://www.chibiakumas.com/6502/)
01:30:58	2573/2573	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Nov%202018%2011:53:40%20GMT	https://www.chibiakumas.com/6502/theme/chibiko.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/theme/chibiko.png	(from https://www.chibiakumas.com/6502/)
01:30:59	1923/1923	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Nov%202018%2008:23:05%20GMT	https://www.chibiakumas.com/68000/theme/yume.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/68000/theme/yume.png	(from https://www.chibiakumas.com/6502/)
01:31:00	1484/1484	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Nov%202018%2011:53:26%20GMT	https://www.chibiakumas.com/6502/theme/yumi2.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/theme/yumi2.png	(from https://www.chibiakumas.com/6502/)
01:31:01	1676/1676	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Nov%202018%2011:53:28%20GMT	https://www.chibiakumas.com/6502/theme/sakuya.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/theme/sakuya.png	(from https://www.chibiakumas.com/6502/)
01:31:02	12576/12576	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Nov%202018%2011:53:36%20GMT	https://www.chibiakumas.com/6502/theme/DevTools.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/theme/DevTools.png	(from https://www.chibiakumas.com/6502/)
01:31:03	1226/1226	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Nov%202018%2011:53:29%20GMT	https://www.chibiakumas.com/6502/theme/File.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/theme/File.png	(from https://www.chibiakumas.com/6502/)
01:31:04	4206/4206	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Apr%202019%2007:01:33%20GMT	https://www.chibiakumas.com/6502/theme/forums.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/theme/forums.png	(from https://www.chibiakumas.com/6502/)
01:31:05	18395/18395	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Dec%202018%2013:47:01%20GMT	https://www.chibiakumas.com/6502/res/Lesson1_1_.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/res/Lesson1_1_.png	(from https://www.chibiakumas.com/6502/)
01:31:07	61553/61553	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Dec%202018%2013:46:41%20GMT	https://www.chibiakumas.com/6502/res/Lesson1_2_.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/res/Lesson1_2_.png	(from https://www.chibiakumas.com/6502/)
01:31:07	1762/1762	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Nov%202018%2011:53:32%20GMT	https://www.chibiakumas.com/6502/theme/bochanL.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/theme/bochanL.png	(from https://www.chibiakumas.com/6502/)
01:31:08	2248/2248	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Dec%202018%2013:47:15%20GMT	https://www.chibiakumas.com/6502/res/Lesson1_3.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/res/Lesson1_3.png	(from https://www.chibiakumas.com/6502/)
01:31:09	2357/2357	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Dec%202018%2013:46:37%20GMT	https://www.chibiakumas.com/6502/res/Lesson1_4.png	/home/macrossneurology/Documents/coding/NES/documents/Learn%20Multi%20platform%206502%20Assembly%20Programming...%20For%20Monsters!/www.chibiakumas.com/6502/res/Lesson1_4.png	(from https://www.chibiakumas.com/6502/)
